,Value,Date,State
744,30.3,2021/08/16,VA
745,27.8,2021/08/16,VT
746,31.1,2021/08/16,WA
747,27.9,2021/08/16,WI
748,34.0,2021/08/16,WV
749,25.4,2021/08/16,WY
750,33.5,2021/08/30,AK
751,38.5,2021/08/30,AL
752,36.2,2021/08/30,AR
753,35.8,2021/08/30,AZ
754,31.5,2021/08/30,CA
755,29.7,2021/08/30,CO
756,27.9,2021/08/30,CT
757,32.4,2021/08/30,DE
758,31.4,2021/08/30,FL
759,34.5,2021/08/30,GA
760,31.8,2021/08/30,HI
761,28.5,2021/08/30,IA
762,27.9,2021/08/30,ID
763,28.6,2021/08/30,IL
764,31.3,2021/08/30,IN
765,29.4,2021/08/30,KS
766,33.8,2021/08/30,KY
767,39.3,2021/08/30,LA
768,32.0,2021/08/30,MA
769,31.4,2021/08/30,MD
770,31.0,2021/08/30,ME
771,30.3,2021/08/30,MI
772,30.4,2021/08/30,MN
773,30.6,2021/08/30,MO
774,33.3,2021/08/30,MS
775,26.3,2021/08/30,MT
776,34.0,2021/08/30,NC
777,29.8,2021/08/30,ND
778,27.9,2021/08/30,NE
779,23.9,2021/08/30,NH
780,30.6,2021/08/30,NJ
781,30.3,2021/08/30,NM
782,36.4,2021/08/30,NV
783,28.6,2021/08/30,NY
784,34.5,2021/08/30,OH
785,38.1,2021/08/30,OK
786,35.3,2021/08/30,OR
787,35.5,2021/08/30,PA
788,29.3,2021/08/30,RI
789,32.7,2021/08/30,SC
790,31.1,2021/08/30,SD
791,41.7,2021/08/30,TN
792,32.6,2021/08/30,TX
793,33.7,2021/08/30,UT
794,28.0,2021/08/30,VA
795,29.3,2021/08/30,VT
796,33.7,2021/08/30,WA
797,25.1,2021/08/30,WI
798,34.2,2021/08/30,WV
799,31.7,2021/08/30,WY
800,34.3,2021/09/13,AK
801,34.2,2021/09/13,AL
802,34.5,2021/09/13,AR
803,30.9,2021/09/13,AZ
804,32.5,2021/09/13,CA
805,29.1,2021/09/13,CO
806,29.2,2021/09/13,CT
807,30.4,2021/09/13,DE
808,35.5,2021/09/13,FL
809,31.0,2021/09/13,GA
810,30.0,2021/09/13,HI
811,28.9,2021/09/13,IA
812,30.1,2021/09/13,ID
813,31.4,2021/09/13,IL
814,30.5,2021/09/13,IN
815,33.7,2021/09/13,KS
816,33.0,2021/09/13,KY
817,44.4,2021/09/13,LA
818,30.3,2021/09/13,MA
819,32.8,2021/09/13,MD
820,25.9,2021/09/13,ME
821,29.3,2021/09/13,MI
822,25.5,2021/09/13,MN
823,33.7,2021/09/13,MO
824,29.2,2021/09/13,MS
825,25.5,2021/09/13,MT
826,32.2,2021/09/13,NC
827,30.7,2021/09/13,ND
828,28.1,2021/09/13,NE
829,28.7,2021/09/13,NH
830,28.1,2021/09/13,NJ
831,31.7,2021/09/13,NM
832,33.2,2021/09/13,NV
833,32.0,2021/09/13,NY
834,31.6,2021/09/13,OH
835,34.7,2021/09/13,OK
836,37.1,2021/09/13,OR
837,27.2,2021/09/13,PA
838,32.1,2021/09/13,RI
839,29.2,2021/09/13,SC
840,19.9,2021/09/13,SD
841,36.8,2021/09/13,TN
842,36.3,2021/09/13,TX
843,29.9,2021/09/13,UT
844,30.7,2021/09/13,VA
845,37.5,2021/09/13,VT
846,34.1,2021/09/13,WA
847,26.5,2021/09/13,WI
848,32.6,2021/09/13,WV
849,31.1,2021/09/13,WY
850,36.5,2021/09/27,AK
851,32.4,2021/09/27,AL
852,38.3,2021/09/27,AR
853,30.9,2021/09/27,AZ
854,33.9,2021/09/27,CA
855,30.9,2021/09/27,CO
856,28.1,2021/09/27,CT
857,33.9,2021/09/27,DE
858,31.5,2021/09/27,FL
859,31.3,2021/09/27,GA
860,34.5,2021/09/27,HI
861,30.4,2021/09/27,IA
862,29.7,2021/09/27,ID
863,29.7,2021/09/27,IL
864,31.4,2021/09/27,IN
